,2000 Forest area (% of land area),2000 GDP per capita (constant 2010 US$),2005 Forest area (% of land area),,2005 GDP per capita (constant 2010 US$),2010 Forest area (% of land area),2010 GDP per capita (constant 2010 US$),2015 Forest area (% of land area),2015 GDP per capita (constant 2010 US$)
France,27.9,"38,460.7",29.0,,"40,252.4",30.0,"40,638.3",31.0,"41,642.3"
,,,,,,,,,
Gabon,85.4,"10,137.7",85.4,,"9,579.5",85.4,"8,754.1",89.3,"9,598.4"
"Gambia, The",45.6,530.1,46.5,,524.5,47.4,562.5,48.2,536.4
Georgia,39.7,"1,436.9",39.9,,"2,158.1",40.6,"2,964.5",40.6,"3,973.2"
Germany,32.5,"37,998.4",32.6,,"38,969.3",32.7,"41,785.6",32.7,"45,412.6"
Ghana,39.2,969.2,39.8,,"1,089.5",40.4,"1,312.6",41.0,"1,684.7"
,,,,,,,,,
Greece,27.9,"23,275.4",29.1,,"27,698.5",30.3,"26,917.8",31.5,"22,648.8"
Greenland,0.0,"32,193.0",0.0,,"37,352.9",0.0,"43,988.3",0.0,"46,738.1"
Grenada,50.0,"6,359.8",50.0,,"7,837.4",50.0,"7,365.7",50.0,"8,406.8"
Guam,46.3,..,46.3,,"30,592.2",46.3,"30,700.4",46.3,"32,119.7"
Guatemala,39.3,"2,554.8",36.7,,"2,638.3",34.7,"2,825.5",33.0,"3,069.0"
Guinea,28.1,584.9,27.4,,619.2,26.6,647.8,25.9,723.9
Guinea-Bissau,75.4,532.3,73.7,,522.5,71.9,546.7,70.1,564.7
Guyana,84.4,"2,354.5",84.3,,"2,446.7",84.2,"3,044.9",84.0,"3,684.9"
Haiti,4.0,766.9,3.8,,688.7,3.7,662.3,3.5,728.1
Honduras,57.1,"1,620.1",51.8,,"1,799.5",46.4,"1,932.9",41.0,"2,102.4"
"Hong Kong SAR, China",..,"23,015.9",..,,"27,688.7",..,"32,550.0",..,"36,260.6"
Hungary,21.4,"10,490.4",22.1,,"13,120.6",22.6,"13,092.2",22.9,"14,629.2"
Iceland,0.3,"36,554.7",0.4,,"42,604.5",0.4,"41,851.7",0.5,"46,221.9"
India,22.0,762.3,22.8,,971.2,23.5,"1,345.8",23.8,"1,758.8"
Indonesia,54.9,"2,143.4",54.0,,"2,519.5",52.1,"3,113.5",50.2,"3,827.6"
"Iran, Islamic Rep.",5.7,"4,781.9",6.6,,"5,685.0",6.6,"6,531.9",6.6,"6,007.0"
Iraq,1.9,"4,311.3",1.9,,"3,857.6",1.9,"4,502.7",1.9,"5,336.6"
Ireland,9.2,"42,945.2",10.1,,"51,527.3",10.5,"48,671.9",10.9,"67,229.2"
Isle of Man,6.1,"43,464.7",6.1,,"54,749.5",6.1,"73,935.7",6.1,"84,046.1"
Israel,7.1,"27,636.3",7.2,,"27,570.9",7.1,"30,642.9",7.6,"32,993.3"
Italy,28.5,"36,180.8",29.8,,"37,238.9",30.7,"35,849.4",31.6,"33,968.7"
Jamaica,31.5,"4,644.6",31.3,,"4,925.3",31.1,"4,682.5",31.0,"4,740.6"
Japan,68.2,"42,169.7",68.4,,"44,393.6",68.5,"44,507.7",68.5,"47,163.5"
Jordan,1.1,"2,810.0",1.1,,"3,417.7",1.1,"3,679.2",1.1,"3,297.9"
Kazakhstan,1.2,"4,491.6",1.2,,"7,228.0",1.2,"9,070.5",1.2,"10,617.5"
Kenya,6.2,833.0,7.1,,868.9,7.4,967.4,7.8,"1,108.0"
Kiribati,15.0,"1,730.8",15.0,,"1,704.1",15.0,"1,493.2",15.0,"1,696.5"
,,,,,,,,,
"Korea, Rep.",65.2,"15,104.5",64.6,,"18,568.4",64.0,"22,087.0",63.4,"24,870.8"
Kosovo,..,"1,919.8",..,,"2,781.7",..,"3,283.2",..,"3,802.0"
Kuwait,0.3,"35,792.7",0.3,,"47,847.8",0.4,"38,497.6",0.4,"35,053.6"
Kyrgyz Republic,4.5,654.3,4.5,,747.6,3.5,880.0,3.3,"1,021.2"
Lao PDR,71.6,672.2,73.1,,842.6,77.2,"1,141.1",81.3,"1,556.7"
Latvia,52.1,"6,934.7",53.0,,"10,873.4",53.9,"11,326.2",54.0,"14,284.3"
Lebanon,12.8,"6,747.6",13.3,,"6,606.3",13.4,"8,858.3",13.4,"7,189.6"
Lesotho,1.4,880.4,1.4,,968.4,1.4,"1,169.3",1.6,"1,338.5"
Liberia,48.1,392.5,46.5,,279.8,44.9,327.4,43.4,367.5
Libya,0.1,"8,967.2",0.1,,"10,653.8",0.1,"12,120.6",0.1,"6,073.4"
,,,,,,,,,
Lithuania,32.2,"6,933.6",33.8,,"10,537.9",34.6,"11,984.9",34.8,"15,383.5"
Luxembourg,33.5,"93,462.9",33.5,,"101,380.8",33.5,"104,965.3",33.5,"107,648.6"
"Macao SAR, China",..,"22,524.5",..,,"34,246.0",..,"52,374.8",..,"53,580.5"
"Macedonia, FYR",37.7,"3,448.8",38.3,,"3,755.0",39.6,"4,542.9",39.6,"5,104.8"
Madagascar,22.4,430.1,22.1,,413.9,21.6,412.7,21.4,410.2
Malawi,37.8,384.7,36.1,,373.2,34.3,458.9,33.4,483.6
Malaysia,65.7,"7,009.7",63.6,,"7,984.0",67.3,"9,071.4",67.6,"10,745.0"
Maldives,3.3,"5,777.2",3.3,,"5,485.0",3.3,"7,100.4",3.3,"8,105.5"
Mali,4.8,553.6,4.5,,666.3,4.2,708.4,3.9,726.2
Malta,1.1,"18,306.7",1.1,,"19,585.1",1.1,"21,087.8",1.1,"25,342.0"
